trial,seed_world,seed_fire,seed_spread,N,forest_fraction_target,forest_density_real,sensor_x,sensor_y,fire_x,fire_y,dist_cells,path_len_8,fuel_load_W,fuel_moisture_M,wind_speed_mps,dt_min,cell_size_m,strength,patch_R,num_steps,fire_rate_threshold,detected,t_detect,detect_minutes,fire_rate_at_detect,peak_fire_rate,t_first_burn_in_patch,t_end,fire_rate_end,burned_end,burned_frac_of_forest_end,end_reason,wall_time_s
30,1940152705,985452196,552062587,20,0.7,0.7017543859649122,19,18,17,5,13.152946437965905,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,7,14,0.20000000298023224,210,0.75,detected,0.1351083000008657
31,623566272,729775797,1352536665,20,0.7,0.7017543859649122,4,3,13,3,9.0,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,3,5,0.0,18,0.06428571428571428,fire_died,0.053323800000725896
32,555883440,1801800003,763315502,20,0.7,0.7017543859649122,13,11,7,2,10.816653826391969,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,3,21,0.0,280,1.0,fire_died,0.19516359999943234
33,138897982,10785379,53923185,20,0.7,0.7017543859649122,18,14,5,0,19.1049731745428,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,8,15,0.20000000298023224,210,0.75,detected,0.1544088999999076
34,1349917978,744789065,606412246,20,0.7,0.7017543859649122,17,16,8,4,15.0,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.03999999910593033,6,25,0.0,270,0.9642857142857143,fire_died,0.23814339999989897
35,1311962371,146217199,1162395141,20,0.7,0.7017543859649122,7,4,2,14,11.180339887498949,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,4,12,0.20000000298023224,175,0.625,detected,0.11677600000075472
36,1324630141,68269102,378657889,20,0.7,0.7017543859649122,8,0,16,1,8.06225774829855,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,4,24,0.0,268,0.9571428571428572,fire_died,0.23493599999892467
37,838210359,653669083,2041536189,20,0.7,0.7017543859649122,19,9,5,2,15.652475842498529,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,8,24,0.0,267,0.9535714285714286,fire_died,0.2271857000014279
38,946797216,1389289275,322557070,20,0.7,0.7017543859649122,6,11,4,1,10.198039027185569,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,4,14,0.20000000298023224,203,0.725,detected,0.13820949999899312
39,1731742693,467998669,1647913984,20,0.7,0.7017543859649122,9,19,8,7,12.041594578792296,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,6,16,0.0,181,0.6464285714285715,fire_died,0.15356359999896085
40,1018622608,873344961,1022994326,20,0.7,0.7017543859649122,6,10,16,9,10.04987562112089,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,4,15,0.20000000298023224,259,0.925,detected,0.14840530000037688
41,1150738891,548107305,260569130,20,0.7,0.7017543859649122,16,1,14,8,7.280109889280518,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,1,28,0.0,265,0.9464285714285714,fire_died,0.27164449999872886
42,639016547,2123951056,599292075,20,0.7,0.7017543859649122,7,13,15,19,10.0,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,17.0,17.0,0.20000000298023224,0.20000000298023224,2,17,0.20000000298023224,153,0.5464285714285714,detected,0.16638079999938782
43,1433570083,559589597,1799442136,20,0.7,0.7017543859649122,17,16,7,5,14.866068747318506,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.11999999731779099,6,15,0.0,280,1.0,fire_died,0.14972239999951853
44,1036722625,1218338984,455221513,20,0.7,0.7017543859649122,10,12,13,5,7.615773105863909,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,11.0,11.0,0.20000000298023224,0.20000000298023224,1,11,0.20000000298023224,164,0.5857142857142857,detected,0.10843099999874539
45,1304975114,1064358601,1530335909,20,0.7,0.7017543859649122,1,1,4,14,13.341664064126334,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,7,12,0.20000000298023224,213,0.7607142857142857,detected,0.12279829999897629
46,528842169,1307520020,1800627784,20,0.7,0.7017543859649122,2,14,11,13,9.055385138137417,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,3,14,0.0,280,1.0,fire_died,0.14601760000005015
47,1003642109,386827496,156365210,20,0.7,0.7017543859649122,3,5,11,17,14.422205101855956,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,6,15,0.20000000298023224,238,0.85,detected,0.15077190000010887
48,1851466537,1084556788,382895141,20,0.7,0.7017543859649122,16,0,14,8,8.246211251235321,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,4.0,4.0,0.20000000298023224,0.20000000298023224,2,4,0.20000000298023224,74,0.2642857142857143,detected,0.04910989999916637
49,630896202,1611753761,795837702,20,0.7,0.7017543859649122,16,13,6,3,14.142135623730951,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,4,14,0.20000000298023224,245,0.875,detected,0.14442369999960647
50,1312371073,1743985090,449157016,20,0.7,0.7017543859649122,18,17,6,14,12.36931687685298,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,6,20,0.0,280,1.0,fire_died,0.1925390000014886
